time,type,count
2016-02-16,PullRequestEvent,55734
2016-02-16,IssueCommentEvent,86384
2016-02-16,ForkEvent,28801
2016-02-16,ReleaseEvent,2989
2016-02-16,WatchEvent,121305
2016-02-16,PublicEvent,785
2016-02-16,DeleteEvent,20397
2016-02-17,WatchEvent,77899
2016-02-17,PullRequestReviewCommentEvent,16153
2016-02-17,ForkEvent,29808
2016-02-17,CreateEvent,127111
2016-02-17,CommitCommentEvent,5668
2016-02-17,IssuesEvent,40780
2016-02-17,PullRequestEvent,55645
2016-02-17,GollumEvent,7804
2016-02-17,ReleaseEvent,3088
2016-02-17,MemberEvent,6724
2016-02-17,DeleteEvent,23139
2016-02-17,IssueCommentEvent,87995
2016-02-17,PushEvent,489957
2016-02-17,PublicEvent,993
2016-02-18,PushEvent,480476
2016-02-18,IssueCommentEvent,88073
2016-02-18,ReleaseEvent,3170
2016-02-18,IssuesEvent,41259
2016-02-18,DeleteEvent,22495
2016-02-18,MemberEvent,6765
2016-02-18,WatchEvent,90078
2016-02-18,CreateEvent,126207
2016-02-18,PullRequestReviewCommentEvent,15915
2016-02-18,ForkEvent,28645
2016-02-18,GollumEvent,7404
2016-02-18,PublicEvent,769
2016-02-18,PullRequestEvent,55957
2016-02-18,CommitCommentEvent,5565
2016-02-19,WatchEvent,97039
2016-02-19,IssuesEvent,38736
2016-02-19,PublicEvent,780
2016-02-19,MemberEvent,5772
2016-02-19,CreateEvent,122852
2016-02-19,ForkEvent,28315
2016-02-19,PushEvent,465395
2016-02-19,GollumEvent,6805
2016-02-19,ReleaseEvent,3063
2016-02-19,PullRequestReviewCommentEvent,15112
2016-02-19,CommitCommentEvent,5276
2016-02-19,PullRequestEvent,54878
2016-02-19,IssueCommentEvent,81435
2016-02-19,DeleteEvent,19589
2016-02-20,IssueCommentEvent,41822
2016-02-20,IssuesEvent,34068
2016-02-20,ForkEvent,18705
2016-02-20,PullRequestReviewCommentEvent,6530
2016-02-20,CreateEvent,87226
2016-02-20,PushEvent,343595
2016-02-20,PublicEvent,540
2016-02-20,CommitCommentEvent,2809
